row_id,measure,effectiveness,reason,reason_clean,sum_reason
131,guard,moderately,They chase them away but sleep sometimes,chase away,Behavioral
132,guard,moderately,They chase them away,chase away,Behavioral
133,guard,moderately,They chase them,chase away,Behavioral
139,guard,Highly,They chase them away while making noise,chase away,Behavioral
140,guard,moderately,They chase them away,chase away,Behavioral
142,guard,Highly,They chase them away,chase away,Behavioral
143,guard,Highly,They chase them away,chase away,Behavioral
144,guard,Highly,They chase them,chase away,Behavioral
145,guard,Highly,They chase them away even though they return it helps,chase away,Behavioral
146,guard,Highly,They chase them away,chase away,Behavioral
148,guard,Highly,They chase them away,chase away,Behavioral
157,guard,Highly,They chase them,chase away,Behavioral
158,guard,Highly,They chase them,chase away,Behavioral
160,guard,Highly,They chase them,chase away,Behavioral
164,guard,Highly,They chase them away,chase away,Behavioral
166,guard,Highly,They chase them away,chase away,Behavioral
185,guard,Highly,It reduces the girrafe to enter the farm,chase away,Behavioral
10,guard,moderately,Giraffes still return even after being chased,got used to,Behavioral
29,guard,moderately,They can not always be around,human limitations,Behavioral
59,guard,moderately,Sometime they sleep and giraffes comes in but they chase them when awake,human limitations,Behavioral
60,guard,moderately,They chase them but not always,human limitations,Behavioral
71,guard,moderately,Only effective when around throughout,human limitations,Behavioral
82,guard,moderately,They keep coming,human limitations,Behavioral
87,guard,moderately,We can only try to reduce but some days you get lazy or overwhelmed by sleep,human limitations,Behavioral
89,guard,moderately,Human get tired,human limitations,Behavioral
95,guard,moderately,They chase them but sometimes they sleep,human limitations,Behavioral
100,guard,moderately,They try but the farm is big with multiple entry points,human limitations,Behavioral
102,guard,moderately,They chase them but big they go through other entry points,human limitations,Behavioral
103,guard,moderately,Effective but human sleep sometimes,human limitations,Behavioral
107,guard,moderately,Sometimes they sleep nbut it helps when awake,human limitations,Behavioral
111,guard,moderately,They sleep sometimes and that is when they come,human limitations,Behavioral
114,guard,moderately,They chase them but some days they sleep,human limitations,Behavioral
116,guard,moderately,They chase them but sometimes sleep,human limitations,Behavioral
120,guard,moderately,Sleeps but when awake it helps,human limitations,Behavioral
124,guard,moderately,They are effective but sleep sometimes,human limitations,Behavioral
125,guard,moderately,They chase them but sleep sometimes,human limitations,Behavioral
126,guard,moderately,They sleep but chase them when awake,human limitations,Behavioral
127,guard,moderately,They chase them but they sleep sometimes,human limitations,Behavioral
134,guard,moderately,They chase them but sleep,human limitations,Behavioral
135,guard,moderately,They chase them but sleep sometimes,human limitations,Behavioral
136,guard,moderately,Chase them but sleep sometimes,human limitations,Behavioral
137,guard,moderately,They chase them but sleep sometimes,human limitations,Behavioral
156,guard,moderately,They chase them but they can't stay all night it is dangerous,human limitations,Behavioral
163,guard,Highly,Helps only when awake present,human limitations,Behavioral
169,guard,moderately,They sleep,human limitations,Behavioral
170,guard,moderately,They sleep,human limitations,Behavioral
187,guard,Highly,2,no reason,no reason
192,guard,moderately,2,no reason,no reason
197,guard,Highly,2,no reason,no reason
205,guard,moderately,2,no reason,no reason
23,guard,not,Giraffe still invade the farm,not scared,Psychological
25,guard,not,Giraffe don't fear live guard,not scared,Psychological
115,guard,not,giraffe are afraid of human,not scared,Psychological
138,guard,moderately,Chase them away but they return,return,Behavioral
46,guard,moderately,Some times not effective due to fear,saftey hazard,Environmental
149,guard,Highly,Effective but eour area is hippo infested so it is not safe,saftey hazard,Environmental
151,guard,moderately,It helps but the area is not safe because of hippo and sometimes they sleep,saftey hazard,Environmental
152,guard,moderately,They chase them but this area has hippo so they can't risk stay out late,saftey hazard,Environmental
167,guard,moderately,They are afraid of hippo so they don't help as much,saftey hazard,Environmental
168,guard,moderately,They help but sleep some days and also they can't stay on farm all the time because of hippos,saftey hazard,Environmental
45,guard,moderately,Not that much effective,unsure,Unsure
165,guard,don_know,It will cost my money's alot,unsure,Unsure
171,guard,moderately,Not really,unsure,Unsure
175,guard,moderately,Not really,unsure,Unsure
176,guard,moderately,It reduces the girrafe to enter the farm not really,unsure,Unsure
177,guard,moderately,Not really,unsure,Unsure
183,guard,Highly,It reduces the girrafe to enter the farm,unsure,Unsure
121,guard,Highly,When someone is in the farm they cannot break the fence,,Behavioral
17,guard_dog,Highly,Make noise and alert liveg uard,alert  guard,Behavioral
19,guard_dog,not,It just help the guard see them but nothing more,alert  guard,Behavioral
47,guard_dog,moderately,They alert you once invaded,alert  guard,Behavioral
50,guard_dog,moderately,Alert you in case of invasion,alert  guard,Behavioral
89,guard_dog,moderately,They alert the guard,alert  guard,Behavioral
94,guard_dog,moderately,They alert the guard,alert  guard,Behavioral
96,guard_dog,moderately,They alert the guard,alert  guard,Behavioral
98,guard_dog,moderately,They alert the guard,alert  guard,Behavioral
102,guard_dog,moderately,They alert the guard when asleep,alert  guard,Behavioral
108,guard_dog,moderately,They just alert you of their presence,alert  guard,Behavioral
112,guard_dog,moderately,They alert the guards,alert  guard,Behavioral
